-4.9875 0 0
-4.9625 0 0
-4.9375 0 0
-4.9125 0 0
-4.8875 0 0
-4.8625 0 0
-4.8375 0 0
-4.8125 0 0
-4.7875 0 0
-4.7625 0 0
-4.7375 0 0
-4.7125 0 0
-4.6875 0 0
-4.6625 0 0
-4.6375 0 0
-4.6125 0 0
-4.5875 0 0
-4.5625 0 0
-4.5375 0 0
-4.5125 0 0
-4.4875 0 0
-4.4625 0 0
-4.4375 0 0
-4.4125 0 0
-4.3875 0 0
-4.3625 0 0
-4.3375 0 0
-4.3125 0 0
-4.2875 0 0
-4.2625 0 0
-4.2375 0 0
-4.2125 0 0
-4.1875 0 0
-4.1625 0 0
-4.1375 0 0
-4.1125 0 0
-4.0875 0 0
-4.0625 0 0
-4.0375 0 0
-4.0125 0 0
-3.9875 0 0
-3.9625 0 0
-3.9375 0 0
-3.9125 0 0
-3.8875 0 0
-3.8625 0 0
-3.8375 0 0
-3.8125 0 0
-3.7875 0 0
-3.7625 0 0
-3.7375 0 0
-3.7125 0 0
-3.6875 0 0
-3.6625 0 0
-3.6375 0 0
-3.6125 0 0
-3.5875 0 0
-3.5625 0 0
-3.5375 0 0
-3.5125 0 0
-3.4875 0 0
-3.4625 0 0
-3.4375 0 0
-3.4125 0 0
-3.3875 0 0
-3.3625 0 0
-3.3375 0 0
-3.3125 0 0
-3.2875 0 0
-3.2625 0 0
-3.2375 0 0
-3.2125 0 0
-3.1875 0 0
-3.1625 0 0
-3.1375 0 0
-3.1125 0 0
-3.0875 0 0
-3.0625 0 0
-3.0375 0 0
-3.0125 0 0
-2.9875 0 0
-2.9625 0 0
-2.9375 0 0
-2.9125 0 0
-2.8875 0 0
-2.8625 0 0
-2.8375 0 0
-2.8125 0 0
-2.7875 0 0
-2.7625 0 0
-2.7375 0 0
-2.7125 0 0
-2.6875 0 0
-2.6625 0 0
-2.6375 1.63934e-05 1.59784e-05
-2.6125 3.27869e-05 3.19567e-05
-2.5875 1.63934e-05 1.59784e-05
-2.5625 3.27869e-05 3.19567e-05
-2.5375 0 0
-2.5125 1.63934e-05 1.59784e-05
-2.4875 1.63934e-05 1.09971e-05
-2.4625 3.27869e-05 2.48619e-05
-2.4375 1.63934e-05 1.09971e-05
-2.4125 0.000106557 5.94192e-05
-2.3875 8.19672e-05 4.70866e-05
-2.3625 8.19672e-05 3.93101e-05
-2.3375 0.000196721 0.000118555
-2.3125 0.000213115 8.36708e-05
-2.2875 0.000237705 8.31674e-05
-2.2625 0.000336066 0.000105273
-2.2375 0.000459016 0.000128874
-2.2125 0.000598361 0.000151706
-2.1875 0.000885246 0.000248186
-2.1625 0.00120492 0.000244607
-2.1375 0.00122131 0.000180505
-2.1125 0.00171311 0.000280485
-2.0875 0.00202459 0.000286598
-2.0625 0.00286885 0.000424096
-2.0375 0.00344262 0.000343481
-2.0125 0.00459836 0.000460255
